10243	Cowpox virus
10244	Monkeypox virus
10245	Vaccinia virus
10246	Vaccinia virus LC16MO
10247	Vaccinia virus WR 65-16
10248	Vaccinia virus LC16M8
10249	Vaccinia virus Copenhagen
10250	Vaccinia virus Dairen I
10251	Vaccinia virus IHD-J
10252	Vaccinia virus Lister
10253	Vaccinia virus Tian Tan
10254	Vaccinia virus WR
10255	Variola virus
10258	Orf virus
10259	Orf virus (strain NZ2)
10280	Molluscum contagiosum virus subtype 1
10298	Human alphaherpesvirus 1
10299	Human alphaherpesvirus 1 strain 17
10300	Human alphaherpesvirus 1 strain A44
10301	Human alphaherpesvirus 1 strain Angelotti
10302	Human alphaherpesvirus 1 strain CL101
10303	Human alphaherpesvirus 1 strain HFEM
10304	Human alphaherpesvirus 1 strain F
10305	Human alphaherpesvirus 1 strain HZT
10306	Human alphaherpesvirus 1 strain KOS
10307	Human alphaherpesvirus 1 strain MP
10308	Human alphaherpesvirus 1 strain Patton
10309	Human alphaherpesvirus 1 strain SC16
10310	Human alphaherpesvirus 2
10312	Human herpesvirus 2 strain 186
10313	Human herpesvirus 2 strain 333
10314	Human herpesvirus 2 strain G
10315	Human herpesvirus 2 strain HG52
10316	Human herpesvirus 2 strain SA8
10317	Cercopithecine alphaherpesvirus 2
10325	Macacine alphaherpesvirus 1
10335	Human alphaherpesvirus 3
10338	Human herpesvirus 3 strain Dumas
10359	Human betaherpesvirus 5
10360	Human herpesvirus 5 strain AD169
10361	Human herpesvirus 5 strain Colburn
10362	Human herpesvirus 5 strain Eisenhardt
10363	Human herpesvirus 5 strain Towne
10364	Simian cytomegalovirus
10369	Human herpesvirus 6 (strain GS)
10370	Human herpesvirus 6 (strain Uganda-1102)
10372	Human betaherpesvirus 7
10376	Human gammaherpesvirus 4
10377	Human herpesvirus 4 strain B95-8
10378	Human herpesvirus 4 strain RAJI
10407	Hepatitis B virus
10408	Hepatitis B virus subtype adw2
10409	Hepatitis B virus adr4
10410	Hepatitis B virus adw/991
10411	Hepatitis B virus alpha1
10412	Hepatitis B virus adw/Indonesia/PIDW420
10413	Hepatitis B virus adw/Japan/PJDW233
10414	Hepatitis B virus LSH/chimpanzee
10415	Hepatitis B virus adw/Okinawa/PODW282
10418	Hepatitis B virus subtype ayw
10419	Hepatitis B virus subtype adyw
10421	Hepatitis delta virus (ISOLATE 7/18/83)
10422	Hepatitis delta virus (ISOLATE AMERICAN)
10423	Hepatitis delta virus (ISOLATE ITALIAN)
10424	Hepatitis delta virus (ISOLATE JAPANESE M-1)
10425	Hepatitis delta virus (ISOLATE JAPANESE M-2)
10426	Hepatitis delta virus (ISOLATE NAURU)
10427	Hepatitis delta virus (ISOLATE JAPANESE S-1)
10428	Hepatitis delta virus (ISOLATE JAPANESE S-2)
10515	Human adenovirus 2
10519	Human adenovirus 7
10521	Human adenovirus 14
10522	Human adenovirus 35
10524	Human adenovirus 41
10527	Human adenovirus D9
10528	Human adenovirus 18
10529	Human adenovirus 31
10533	Human adenovirus 1
10534	Human adenovirus 6
10541	Human adenovirus 11
10548	Human adenovirus 34
10566	Human papillomavirus
10573	human papillomavirus 13
10579	Human papillomavirus type 8
10580	human papillomavirus 11
10583	Human papillomavirus type 1a
10584	Human papillomavirus type 2a
10585	human papillomavirus 31
10586	human papillomavirus 33
10587	human papillomavirus 35
10588	human papillomavirus 39
10589	Human papillomavirus type 41
10590	human papillomavirus 42
10591	human papillomavirus 43
10592	human papillomavirus 44
10593	human papillomavirus 45
10594	human papillomavirus 47
10595	human papillomavirus 51
10596	human papillomavirus 56
10598	human papillomavirus 58
10599	Human papillomavirus type 5b
10600	Human papillomavirus type 6b
10604	human papillomavirus 12
10606	Human papillomavirus 15
10607	Human papillomavirus 17
10608	Human papillomavirus 19
10609	human papillomavirus 25
10610	Human papillomavirus type 2c
10611	human papillomavirus 30
10614	Human papillomavirus 3
10615	human papillomavirus 40
10616	Human papillomavirus type 49
10617	Human papillomavirus 4
10618	human papillomavirus 52
10620	Human papillomavirus type 7
10621	Human papillomavirus 9
10630	BK virus strain GS
10631	BK virus strain AS
10632	JC polyomavirus
10798	Human parvovirus B19
10799	H-1 parvovirus
10804	adeno-associated virus 2
10805	Adeno-associated virus 2H
10893	Broadhaven virus
10913	Porcine rotavirus
10915	Porcine rotavirus serotype 5/strain OSU
10916	Porcine rotavirus C strain Cowden
10917	Porcine rotavirus strain Gottfried
10918	Porcine rotavirus strain K
10919	Porcine rotavirus strain YM
10922	Simian rotavirus
10923	Simian rotavirus A/SA11
10925	Simian rotavirus A/SA11-FEM
10926	Simian rotavirus A/SA11-SEM
10927	Bovine rotavirus
10928	Bovine rotavirus strain B641/G6
10929	Bovine rotavirus (serotype 6 / STRAIN 61A)
10931	Bovine rotavirus C486
10933	Bovine rotavirus strain RF
10934	Bovine rotavirus strain UK/G6
10935	Bovine rotavirus (strain VMRI)
10941	Human rotavirus A
10942	Human rotavirus B
10943	Human rotavirus C
10944	Human rotavirus serotype 1 / strain 1076
10946	Human rotavirus (STRAIN RV5)
10947	Human rotavirus serotype 1 / strain 69M
10948	Human rotavirus (SEROTYPE 2 / STRAIN HU5)
10949	Human rotavirus (SEROTYPE G / STRAIN B37)
10950	Human rotavirus (SEROTYPE 2 / STRAIN DS1)
10951	Human rotavirus (SEROTYPE 2 / STRAIN HN126)
10952	Human rotavirus strain KU
10953	Human rotavirus (STRAIN L26)
10954	Human rotavirus serotype 1 / strain M37
10955	Human rotavirus strain MCN13
10956	Human rotavirus serotype 1 / strain MO
10957	Human rotavirus strain P
10958	Human rotavirus strain RRV
10959	Human rotavirus (SEROTYPE 2 / STRAIN S2)
10960	Human rotavirus G4 strain St. Thomas 3
10961	Human rotavirus G4 strain VA70
10962	Human rotavirus strain WA
10963	Rabbit rotavirus
10967	Porcine rotavirus A
10968	Porcine rotavirus C
10971	Rotavirus subgroup 2
10978	Rotavirus subgroup 1
11020	Barmah Forest virus
11021	Eastern equine encephalitis virus
11022	Eastern equine encephalitis virus (STRAIN VA33[TEN BROECK])
11028	O'nyong-nyong virus strain Gulu
11029	Ross River virus
11030	Ross river virus (STRAIN 213970)
11031	Ross river virus (STRAIN NB5092)
11032	Ross river virus (STRAIN T48)
11033	Semliki Forest virus
11034	Sindbis virus
11036	Venezuelan equine encephalitis virus
11037	Venezuelan equine encephalitis virus (strain TC-83)
11038	Venezuelan equine encephalitis virus (strain Trinidad donkey)
11039	Western equine encephalitis virus
11041	Rubella virus
11043	Rubella virus strain M33
11044	Rubella virus vaccine strain RA27/3
11045	Rubella virus strain Therien
11047	Equine arteritis virus
11053	dengue virus type I
11057	Dengue virus 1 Thailand/AHF 82-80/1980
11058	Dengue virus 1 Jamaica/CV1636/1977
11059	Dengue virus 1 Nauru/West Pac/1974
11060	Dengue virus type 2
11062	Dengue virus 2 Malaysia M2
11063	Dengue virus 2 Malaysia M3
11064	Dengue virus 2 Jamaica/1409/1983
11065	Dengue virus 2 Thailand/NGS-C/1944
11066	Dengue virus 2 Puerto Rico/PR159-S1/1969
11067	Dengue virus 2 Tonga/EKB194/1974
11068	Dengue virus 2 Thailand/PUO-218/1980
11069	Dengue virus type 3
11070	Dengue virus type 4
11072	Japanese encephalitis virus
11073	Japanese encephalitis virus strain SA-14
11074	Japanese encephalitis virus strain SA(V)
